Year,TOTAL LIGHTING,COLD - Total,WET - Total,TOTAL TV,CONSUMER ELECTRONICS - Total,COMPUTERS - Total,COOKING - Total,OTHER - TOTAL,Overall Total
1970.0,11297.0,,,,,,1796.0,531.0,13624.0
1971.0,11618.0,,,,,,1926.0,537.0,14081.0
1972.0,11934.0,,,,,,2052.0,542.0,14528.0
1973.0,12247.0,,,,,,2171.0,547.0,14965.0
1974.0,12555.0,,,,,,2276.0,552.0,15383.0
1975.0,12860.0,,,,,,2362.0,557.0,15779.0
1976.0,13161.0,,,,3.0,,2431.0,562.0,16157.0
1977.0,13458.0,,,,6.0,2.0,2497.0,566.0,16529.0
1978.0,13750.0,,,,48.0,13.0,2572.0,571.0,16954.0
1979.0,14038.0,,,,150.0,41.0,2654.0,576.0,17459.0
1980.0,14321.0,23609.0,5814.0,,329.0,84.0,5746.0,925.0,50828.0
1981.0,14589.0,23991.0,5925.0,,588.0,138.0,5897.0,1270.0,52398.0
1982.0,14849.0,24140.0,5983.0,,906.0,197.0,6033.0,1610.0,53718.0
1983.0,15102.0,24339.0,6060.0,,1243.0,259.0,6239.0,1948.0,55190.0
1984.0,15347.0,24590.0,6155.0,,1556.0,324.0,6507.0,2285.0,56764.0
1985.0,15582.0,24814.0,6569.0,,1836.0,392.0,6806.0,2618.0,58617.0
1986.0,15805.0,25034.0,6693.0,,2089.0,463.0,7124.0,2948.0,60156.0
1987.0,16015.0,25259.0,6834.0,,2317.0,538.0,7447.0,3275.0,61685.0
1988.0,16222.0,25484.0,6997.0,,2518.0,615.0,7765.0,3600.0,63201.0
1989.0,16420.0,25696.0,7182.0,,2688.0,694.0,8067.0,3922.0,64669.0
1990.0,16889.0,25842.0,10954.0,2801.0,3122.0,778.0,8334.0,4234.0,72954.0
1991.0,16933.0,25805.0,11233.0,2824.0,3416.0,865.0,8583.0,4540.0,74199.0
1992.0,17033.0,25657.0,11500.0,2849.0,3679.0,956.0,8791.0,4835.0,75300.0
1993.0,17242.0,25453.0,11801.0,2884.0,3920.0,1048.0,8990.0,5112.0,76450.0
1994.0,17337.0,25205.0,12407.0,2939.0,4124.0,1149.0,9188.0,5363.0,77712.0
1995.0,17452.0,24674.0,12820.0,3010.0,4296.0,1259.0,9398.0,5586.0,78495.0
1996.0,17608.0,24130.0,12863.0,3081.0,4325.0,1379.0,9589.0,5773.0,78748.0
1997.0,17787.0,23555.0,13072.0,3147.0,4458.0,1510.0,9762.0,5922.0,79213.0
1998.0,18009.0,22960.0,13278.0,3217.0,4691.0,1640.0,9927.0,6020.0,79742.0
1999.0,17874.0,22319.0,13265.0,3214.0,4997.0,1780.0,10089.0,6070.0,79608.0
2000.0,17756.0,21677.0,13629.0,3266.0,5496.0,1922.0,10256.0,6081.0,80083.0
2001.0,17614.0,21019.0,13861.0,3225.0,6070.0,2184.0,10452.0,6066.0,80491.0
2002.0,18373.0,20381.0,14123.0,3173.0,6772.0,2491.0,10602.0,6036.0,81951.0
2003.0,18557.0,19791.0,14289.0,3342.0,7650.0,2852.0,10760.0,5997.0,83238.0
2004.0,18678.0,19224.0,14487.0,3319.0,8603.0,3278.0,10892.0,5956.0,84437.0
2005.0,18776.0,18711.0,14603.0,3273.0,9280.0,3725.0,11039.0,5916.0,85323.0
2006.0,13799.0,17839.0,14772.0,3273.0,9603.0,4148.0,11167.0,5869.0,80470.0
2007.0,14588.0,16896.0,14580.0,3428.0,9685.0,4533.0,11160.0,5823.0,80693.0
2008.0,15306.0,16672.0,14498.0,3706.0,9432.0,4681.0,11231.0,5778.0,81304.0
2009.0,13605.0,16278.0,14544.0,3727.0,9189.0,4532.0,11368.0,5724.0,78967.0
2010.0,14072.0,16104.0,14495.0,3954.0,8861.0,4913.0,11544.0,5673.0,79616.0
2011.0,14709.0,15398.0,14525.0,3684.0,8237.0,4394.0,11607.0,5627.0,78181.0
2012.0,14861.0,14713.0,14443.0,3291.0,7498.0,3712.0,11907.0,5582.0,76007.0
2013.0,12688.0,14030.0,14331.0,2793.0,6895.0,3265.0,12031.0,5541.0,71574.0
2014.0,12240.0,13367.0,14363.0,2340.0,6369.0,2961.0,12162.0,5504.0,69306.0
2015.0,11935.0,12725.0,14355.0,2061.0,5903.0,2825.0,12289.0,5456.0,67549.0
2016.0,11554.0,12046.0,14301.0,1899.0,5655.0,2727.0,12417.0,5405.0,66004.0
2017.0,11107.0,11919.0,14260.0,1732.0,5468.0,2678.0,12530.0,5353.0,65047.0
2018.0,10817.0,11135.0,14224.0,1661.0,5251.0,2737.0,12639.0,5265.0,63729.0
2019.0,10508.0,10754.0,14189.0,1582.0,5043.0,2878.0,12743.0,5181.0,62878.0
2020.0,9799.879387877882,8260.309009432793,13669.14342224598,1350.6802953705192,6551.443143654615,3733.938902841881,12425.89755096659,5290.566428851336,61081.858141241595
2021.0,9185.783133387566,7290.307419702411,13434.57557399571,1097.0453358590603,6415.113998368382,3767.0145339574665,12441.132508948445,5186.371554914862,58817.3440591339
2022.0,8547.88191537559,6293.077723354101,13176.93852955848,829.3447180651128,6264.360323958099,3796.868894757703,12447.8581770733,5073.120265334845,56429.45054747723
2023.0,7886.175733834505,5268.619920410216,12896.232288911939,547.5784419998527,6099.182120423764,3823.501985241659,12446.074555315077,4950.81256011501,53918.17760625202
2024.0,7200.664588779211,4216.934010826051,12592.456852063537,500.0,5919.579387757927,3846.9138054093346,12435.781643692404,4819.448439255357,51531.77872778382
2025.0,6491.348480194807,3138.0199946314096,12265.612218990922,500.0,5725.552125968039,3867.1043552597985,12416.97944219783,4679.027902748436,49083.64451999124
2026.0,5758.227408088744,2031.8778718188405,11915.698389731348,500.0,5517.100335050374,3884.0736347949132,12389.667950831354,4529.550950597972,46526.196540913545
2027.0,5001.301372461021,898.5076423883438,11542.715364262462,500.0,5294.224015001208,3897.821644014679,12353.847169600427,4371.017582803965,43859.434790532105
2028.0,4220.570373304188,500.0,11146.663142576814,500.0,5056.923165831715,3908.348382917233,12309.517098493874,4203.427799373865,41845.44996249769
2029.0,3416.034410625696,500.0,10727.541724696755,500.0,4805.1977875344455,3915.6538515035063,12256.67773752287,4026.781600292772,40147.887112176046
2030.0,2587.6934844255447,500.0,10285.351110607386,500.0,4539.047880101949,3919.7380497744307,12195.329086679965,3841.0789855718613,38368.23859716114
