Year,Electricity - space heating,Electricity - water heating,Overall Total
1990,12804.630000000001,9524.970000000001,22329.600000000002
1991,16630.9,9245.85,25876.75
1992,16956.54,9513.34,26469.88
1993,14607.28,11699.78,26307.06
1994,14537.500000000002,12002.160000000002,26539.660000000003
1995,14467.720000000001,12211.5,26679.22
1996,18526.59,12758.11,31284.7
1997,15595.830000000002,11920.75,27516.58
1998,18421.920000000002,13258.2,31680.120000000003
1999,18666.15,13130.27,31796.420000000002
2000,19352.32,13176.79,32529.11
2001,21492.24,13641.990000000002,35134.23
2002,21236.38,13828.070000000002,35064.450000000004
2003,21817.88,13886.220000000001,35704.100000000006
2004,21294.530000000002,13234.94,34529.47
2005,20980.52,13374.5,34355.020000000004
2006,19456.99,12827.890000000001,32284.880000000005
2007,17712.49,12141.720000000001,29854.210000000003
2008,27342.13,8257.300000000001,35599.43
2009,27051.38,8175.89,35227.270000000004
2010,29377.38,6931.4800000000005,36308.86
2011,20666.510000000002,8210.78,28877.29
2012,20619.99,6652.360000000001,27272.350000000002
2013,19433.73,6094.120000000001,25527.85
2014,18177.690000000002,5338.17,23515.86
2015,18538.22,5024.160000000001,23562.38
2016,19375.58,5186.9800000000005,24562.56
2017,17561.300000000003,4535.700000000001,22097.000000000004
2018,16851.870000000003,4628.740000000001,21480.610000000004
2019,16537.86,4547.33,21085.190000000002
2020,16235.480000000001,4710.150000000001,20945.63
2021,17130.99,4838.08,21969.07
2022,14584.012002676725,2178.7849897146225,16762.796992391348
2022,14176.970000000001,3861.1600000000003,18038.13
2023,13569.861194938421,1336.0361564904451,14905.897351428866
2023,13711.77,3756.4900000000002,17468.260000000002
2024,12490.040831059217,458.84858921170235,12948.88942027092
2025,11344.550911098719,300.0,11644.550911098719
2026,10133.391435027122,300.0,10433.391435027122
2027,8856.562402814627,300.0,9156.562402814627
2028,7514.063814491034,300.0,7814.063814491034
2029,6105.895670056343,300.0,6405.895670056343
2030,4632.057969510555,300.0,4932.057969510555
